이름,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호,ID,보관방법,제품명,원재료,용량,포장재질,제조원,주소,허가번호,제조일,권장기한,생산자,소재지,제조연월일,유통기한 또는 품질유지기한,포장단위별 내용물의 용량(중량),원재료명 및 함량,"포장단위별 내용물의 용량(중량), 수량",식품유형,원재료명,품질유지기한,제조 및 판매원,성분
카프리,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,운조커피 010-4535-8819,3508,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
안신단고 블렌딩,볶은커피,경상남도 진주시 남강로 36 (판문동) 1층 플라워진양호점,제조일로부터 12개월 이내,주문일로부터 7일 이내,500g / 1kg,-,커피원두 100%,코케 고객센터 070-4647-1868,1118,,,,,,,,,,,,,,,,,,,,,,
올드타운,,,제조일로부터1년,,,,,코케 고객센터 070-4647-1868,291,건조하고 서늘한 곳에 보관,차군커피,커피원두100%,별도표기,별도표기,차군커피로스터스,경남 밀양시 가곡11길 4,제2017-0611180호,별도표기,제조일로부터 1개월,,,,,,,,,,,,
어텀 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커스프 커피 010-3267-0430,3584,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,커피,서울 중구 필동로 32 낙원빌딩 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,헤베커피 010-5295-5742,4614,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 반코 고티티 G1 워시드,커피,경기도 광주시 오포읍 수레실길 144,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,한국커피 010-9957-4231,1722,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
스칼렛,커피,"루비아 / 경기 성남시 사기막골로 124, 비즈동 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,루비아 커피 / 010-2942-3069,3041,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
ESPRESSO DECAF(디카페인),볶은 커피,서울특별시 강남구 학동로50길 42,제조일로부터 1년,상품 후면 표기,1kg,,커피원두 100%,마그마커피 070-7599-2210,4449,습기 및 직사광선을 피하고 서늘한 장소에 보관하십시오.,,,,,,,,,,,,,,,,,,,,,
브라질 I.P 아카이아 내추럴,커피,서울특별시 영등포구 문래로 20길 60 501호,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,블랙빈스 010-5684-2955,1736,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
인도 마이소르 너겟 엑스트라 볼드,커피,"베러로스팅랩, 서울시 성동구 왕십리로6길 18-1, 1층",제조일로부터 2개월,주문시 로스팅,200g,후면에 표기,커피원두 100%(인도100%),코케 고객센터 070-4647-1868,1092,,,,,,,,,,,,,,,,,,,,,,
일상 블렌드 A (아메리카노),커피,"대구광역시 수성구 청솔로 57, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,흐드러진커피 01046819876,3721,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
인디언 헤드,커피,"경기도 성남시 중원구 사기막골로 124, skn테크노파크 메가센터 1411호, (주)프레이저커피",제조일로부터 1년,주문시 로스팅,200g / 1kg,실온보관,"커피원두 100%(브라질 50%, 콜롬비아 30%, 베트남 20%)",코케 고객센터 070-4647-1868,1046,,,,,,,,,,,,,,,,,,,,,,
디카페인 스프링 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커스프 커피 010-3267-0430,3586,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
푸짐한알밥 블렌딩,원두,"원더월 커피로스터스, 서울시 동대문구 답십리로 80 1층",제조일로 2개월,제품 표시,1kg,실온 보관,로부스타 생두 100%,코케 고객센터 070-4647-1868,1200,,,,,,,,,,,,,,,,,,,,,,
스모키쿼츠 블렌드,커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,필리그리커피 032-672-9127,3984,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
프레쉬 블렌드,커피,서울 중구 필동로 32 낙원빌딩 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,헤베커피 010-5295-5742,4613,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
투게더 블렌드,커피,서울시 마포구 동교로22길 21,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리밀커피 010-3173-2923,3617,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
기디 블렌드,커피,경기도 수원시 장안구 금당로90번길 38 이수팩토리,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이수팩토리 01086348481,4310,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
F 블렌드,커피 원두,서울특별시 마포구 월드컵북로6길 88,제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 보관,"커피 원두(브라질 60%, 콜롬비아 40%)",코케 고객센터 070-4647-1868,1342,,,,,,,,,,,,,,,,,,,,,,
딥 스모키,커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,500g / 1kg,서늘한 곳에 보관,"커피원두(브라질산 80%, 인도네시아산 20%)",코케 고객센터 070-4647-1868,275,,,,,,,,,,,,,,,,,,,,,,
모카 블렌딩,커피,서가로스터리 (충남 논산시 연산면 황룡재로 65 2층 서가로스터리 1사무실),제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,서가로스터리 01063083067,4698,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,원두,"스탠딩커피로스터스 (주), 서울시 용산구 이태원동 210-8번지",제조일로부터 3개월,별도 표기,200g / 1kg,직사광선 피하고 서늘한 곳,볶은원두 100%,코케 고객센터 070-4647-1868,125,,,,,,,,,,,,,,,,,,,,,,
과테말라 산로렌조 엘쿠로 블랙허니,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,500g,,커피원두 100%,카페소소한사치 010-9340-4364,4840,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Decaffeinated Blend,볶은커피,"(주)펠트, 경기도 고양시 덕양구 덕은동 74-1 1층",제조일로 부터 1년,후면별도표시,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868,194,,,,,,,,,,,,,,,,,,,,,,
아몰렌떼 디카페인 원두 커피,커피,아몰렌떼/경기도 용인시 처인구 남사읍 통삼로 409 나동,제조일로부터 1년(향미 보존 위해 3주 이내에 소비 권장),주문 확인 후 제조,"500g, 1kg",,커피원두 100%,아몰렌떼 / 070-8843-0526,3921,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
1st WAVE : Supply,볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"브라질 생두 50%, 인도네시아 50%",코케 고객센터 070-4647-1868,22,,,,,,,,,,,,,,,,,,,,,,
카메오 블렌딩,커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,올인커피 010-7636-6916,3899,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블랙가이 블랜드,커피,경기도 수원시 팔달구 창룡대로103번길 132,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피가이 070-4897-3440,3025,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
L1,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,운조커피 010-4535-8819,3507,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
[다크] 케냐 키리냐가 아실리 AA+ 워시드,커피,"경기도 성남시 중원구 사기막골로 124, 비즈센터 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,루비아 커피 010-2942-3069,4522,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
다크블루,커피,서울특별시 영등포구 문래로 20길 60 501호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,블랙빈스 010-5684-2955,1731,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 구지 우라가,커피,"웨이브온커피, 부산광역시 기장군 장안읍 해맞이로 286",제조일로부터 1년,별도 표시,200g / 1kg,밀봉 후 직사광선을 피하여 실온 보관,커피원두100%,코케 고객센터 070-4647-1868,224,,,,,,,,,,,,,,,,,,,,,,
에티오피아 카욘마운틴 내추럴 구지 G1 스페셜티,커피,"경기도 부천시 양지로92번길 9-3, 106호",제조일로부터 1년,주문 확인 후 제조,100g,,커피원두 100%,오이르 로스터스 010-8720-3414,4008,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
나폴리,커피,경상북도 경산시 와촌면 갓바위로 67-2(와촌면) (우:38400),제조일로부터 1년,주문일로부터 7일이내,200g / 1kg,직사광선을 피하고 밀봉하여 실온보관,"커피원두 100%(브라질 40%, 콜롬비아 40%, 에티오피아 20%)",코케 고객센터 070-4647-1868,1066,,,,,,,,,,,,,,,,,,,,,,
다크브릭스 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커스프 커피 010-3267-0430,3588,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 슈가케인 디카페인,커피,서울특별시 양천구 신정중앙로 32 1층 좌측호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,저스트로스터 010-5632-5026,3148,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
타이거 스모크 블랜드,커피,경북 구미시 산동읍 첨단기업1로 42,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,퍼블릭 커피 로스터즈 010-9328-0036,3557,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
다크 클로,커피,"제조원 앤써커피:경기도 일산서구 고양시 주엽동81 뉴서울프라자 3층, 매장 앤써커피 역삼:서울특별시 강남구 논현로 85길 5-12 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,앤써커피 010-4064-3852,3150,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
하이로 디카프리오,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,,아라비카 원두 100%,코케 고객센터 070-4647-1868,3447,직사광선을 피하고 서늘하고 건조한 곳,,,,,,,,,,,,,,,,,,,,,
엘 살바도르 라 시베리아 레드버번 워시드,커피,경기도 광주시 고불로 450-3 에이스폴딩 뒷편 지층 55도커피로스터스,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,55도 커피로스터스 010-2671-8620,3486,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
브라질 산타루시아,커피,서울시 관악구 은천로 39,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,UFO 커피로스터스 010-4240-8455,3223,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
클래식 에스프레소,커피,서울시 서초구 효령로 72길 57 E동 B101호 리플렉트커피,제조일로부터 10개월,주문시 로스팅,200g / 1kg,후면에 표기,"커피원두 100%(콜롬비아 50%, 브라질 30%, 과테말라 20%)",코케 고객센터 070-4647-1868,1041,,,,,,,,,,,,,,,,,,,,,,
바흐 Bach,커피,성남시 중원구 둔촌대로 400 스타우드 511호,제조일로부터 1년,별도표기,1kg,,커피원두 100%,크레센도 커피 로스터스 010-3386-5969,4802,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
고소한쌀밥 블렌딩,원두,"원더월 커피로스터스, 서울시 동대문구 답십리로 80 1층",제조일로 2개월,제품 표시,1kg,실온 보관,아라비카 생두 100%,코케 고객센터 070-4647-1868,133,,,,,,,,,,,,,,,,,,,,,,
컨트리사이드 디카페인 싱글오리진,커피,경기도 고양시 덕양구 행당로 1 4층 401호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,컨트리사이드 010-6639-4576,3963,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 AA 워시드,원두커피,"브니엘컴퍼니, 서울시 양천구 가로공원로56길 27-1 1층 브니엘 커피 로스터스",제조일로부터 1년,상단에 표시,250g / 1kg,없음,케냐 100%,코케 고객센터 070-4647-1868,1470,,,,,,,,,,,,,,,,,,,,,,
일상 블렌드 L (라떼),커피,"대구광역시 수성구 청솔로 57, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,흐드러진커피 01046819876,3722,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
코스타리카 따라주,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,4605,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
BAGUS 블렌딩,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,제이엠디커피팩토리 010-9903-8794,3461,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
버터 슬럽 블렌드,커피,광주광역시 동구 준법로 14 1층 슬러핀커피로스터스,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,슬러핀 커피 010-2031-5959,3193,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
덕분에블렌드,커피,경기도 성남시 중원구 둔촌대로 531 쌍용IT트윈타워 B동 901-2호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,챁챁커피 031-736-0090,3009,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 아리차 스페셜 G1 내추럴,원두커피,"브니엘컴퍼니, 서울시 양천구 가로공원로56길 27-1 1층 브니엘 커피 로스터스",제조일로부터 1년,상단에 표시,200g / 1kg,없음,아라비카 100%,코케 고객센터 070-4647-1868,57,,,,,,,,,,,,,,,,,,,,,,
캠프파이어 블렌드,커피,경기 수원시 팔달구 매산로 139-5,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,노스모크위드아웃파이어 010-7278-5547,1712,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Classic Plus Blend,볶은커피,"(주)펠트, 경기도 고양시 덕양구 덕은동 74-1 1층",제조일로 부터 1년,후면별도표시,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868,195,,,,,,,,,,,,,,,,,,,,,,
파푸아뉴기니 마라와카 블루마운틴,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,"500g,1kg",,커피원두 100%,운조커피 010-4535-8819,3894,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Ethiopia Guji G1(에티오피아 구지 G1),커피,서울특별시 강남구 선릉로 570 1층,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,마그마커피 070-7599-2210,4799,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Avo 블랜드,커피,인천광역시 서구 가정로 261번길 7,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이보크 01092901646,3707,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
메이데이,커피,"(주)클라우드 핑크, 서울 성동구 서울숲2길 28-11",제조일로부터 1년,후면별도표기,210g / 500g,실온에서 직사광선을 피해 서늘한 곳에 보관하세요.,"커피 100%(과테말라 40%, 에티오피아 30%, 콜롬비아 30%)",코케 고객센터 070-4647-1868,60,,,,,,,,,,,,,,,,,,,,,,
디카페인 콜롬비아,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피 070-4203-6900,4599,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
날아올라,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,206,,,,,,,,,,,,,,,,,,,,,,
랑케블랙,커피,경기 안산시 단원구 산단로 296 522호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,랑케커피 01089630224,4316,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
