,id,이름,로스터리ID,커피 소개,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛,카페인,나라,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호
20,4443,콜롬비아 수프리모 후일라 산 비센테 라 플라타,85,"콜롬비아 후일라 산 비센테 라 플라타는 레지오날 플루소르 등급 (85점 이상, 수분율 10~11% 사이)의 마이크로랏 스페셜티입니다. 콜롬비아 커피의 특징인 고소함과 단맛을 적절히 받쳐주는 산미가 적절하게 균형을 갖추고 있으며, 콤롬비아 스페셜티의 전형적인 느낌을 갖추고 있습니다. 옅은 산미가 들어있는 균형감있는 커피를 선호하시는 분께 추천드립니다. ",싱글오리진,미디엄,,"['흑설탕', '자두', '살구', '바닐라']",3,4,3,2,1,후일라,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,500g / 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커스프 커피 070-8098-8025
21,1476,다크 아이보리 블렌드,0,기름진 견과류의 느낌과 진하고 어두운 늬앙스의 커피입니다.,블렌드,다크,,"['캐슈넛', ' 구운아몬드', ' 밀크초콜렛']",5,1,4,2,1,"브라질, 콜롬비아",원두커피,경기도 성남시 분당구 문정로144번길 4,제품 별도 표기,제품 별도 표기,200g / 1kg,,"원두커피 100% (콜롬비아 70%, 브라질 30%)",코케 고객센터 070-4647-1868
22,3402,노 피어,104,"묵직한 바디와 다크초콜릿의 쌉싸름함, 뒤에 은은하게 남는 카카오닙스의 여운, 명확한 커피의 기준을 제시하고자 출시된 이탈리아 스타일의 다크 로스팅 커피입니다.",블렌드,다크,,,4,1,4,4,1,"브라질, 에티오피아, 인도",커피,서울특별시 성동구 광나루로4가길 28 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,피어 커피로스터스 010-4501-1464
23,186,포스트업,113,초콜릿처럼 견고하고 묵직한 단맛과 쌉싸름함을 중심으로 약간의 산미가 조화를 이루어 안정적이고 좋은 여운을 느낄 수 있습니다.,블렌드,다크,,['초콜릿'],5,1,5,1,1,"브라질, 과테말라",커피,"히떼로스터리, 경상남도 밀양시 삼랑진읍 행곡로 16",제조일로부터 6개월,별도표시,200g,건냉한 곳에 밀폐보관,커피 원두100%,코케 고객센터 070-4647-1868
24,3241,클래식 골드 블렌드,75,"강볶음 특유의 초콜릿 향과 은은한 캬라멜 향이 좋은 커피입니다. 처음 접하더라도 부담스럽지 않은 향미를 보여 주며, 특히 우유를 희석한 음료 제조시 탁월한 향미를 제공합니다.",블렌드,다크,직접무역,,4,1,4,3,1,"브라질, 콜롬비아, 과테말라, 온두라스",커피,경기도 하남시 조정대로 150 (아이테코) 오렌지존 226호,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,전광수 커피 010-2936-0501
25,127,우일라 디카페인,46,"말린 무화과, 건자두에 헤이즐넛의 달달한 향미를 더해 밸런스가 좋은 커피입니다.",디카페인,미디엄다크,,['초콜릿'],3,3,4,2,0,퀸디오,원두,Steamerscoffee,제조일로부터 2달 이내,상품 뒷면 참조,200g,없음,Colombia 100%,코케 고객센터 070-4647-1868
26,4482,라이프 블렌드,13,견과류의 구수함과 카카오가 느껴지는 다크로스팅 블렌드 산미가 없는 원두를 선호하는 고객층의 니즈와 가성비를 만족하는 블렌드,블렌드,다크,,,4,1,4,3,1,"브라질, 인도",커피,경기도 안산시 단원구 만해로 205 타원타크라3 a동 113호 114호,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,디그리 01031660563
27,4774,브라질 핀할 카티구아,0,무산소 발효를 통하여 브라질에서 쉽게 느낄 수 없던 파파야 / 말린 자두 / 청사과 같은 맛과 향이 매력적입니다.,싱글오리진,라이트,,,3,5,4,1,1,산 안토니오 도 앰파랍,커피,경기 성남시 분당구 문정로144번길 4,제조일로부터 1년,주문 확인 후 제조,200g / 500g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,180커피로스터스 010-4510-8597
28,104,딥씨 블렌드,1,낮은 톤의 은은한 산미와 초콜릿의 깊은 여운을 가진 딥씨는 브루잉부터 에스프레소까지 어떤 종류의 추출에도 잘 어울리는 커피로 균형잡힌 맛과 향을 가지고 있습니다.,블렌드,미디엄,,"['귤', ' 포도', ' 초콜릿']",3,3,4,3,1,"콜롬비아, 에티오피아, 과테말라",볶은 커피,"(주)502커피로스터스, 서울 금천구 가산디지털1로 159-20",제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868
29,1477,율 디캐프,0,"구수한 녹차, 홍차, 블랙 슈가의 늬앙스를 낮에도 밤에도 부담없이 즐길 수 있는 디카페인 커피입니다.",디카페인,라이트,,"['녹차', ' 홍차', ' 블랙슈가']",2,2,3,1,0,"콜롬비아, 과테말라",원두커피,경기도 성남시 분당구 문정로144번길 4,제품 별도 표기,제품 별도 표기,200g / 1kg,,"원두커피 100% (콜롬비아 50%, 과테말라 50%)",코케 고객센터 070-4647-1868
30,4717,"DEEP, DEEPLY 딥 딥플리",83,"다크 초콜렛의 단맛에 더불어 은은한 사과,오렌지 산미로 매일 마셔도 부담없는 커피입니다.",블렌드,미디엄다크,,,4,2,5,2,1,,커피,서울특별시 관악구 조원로 2길 7 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,카페플롬 010-4155-8282
31,3013,일랑일랑 블렌드,56,과일 티를 마시는 듯 한 상큼하고 깔끔한 단맛 꽃 향의 여운이 길게 남는 커피,블렌드,라이트미디엄,,,3,4,4,1,1,"코스타리카, 에티오피아",커피,구리시 아차산로 432번길 18 201호,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,010-5134-1306
32,4837,블랙 스트림 4kg,24,입안에서 다채롭게 퍼지는 다크 로스팅의 풍미 콜롬비아와 과테말라 그리고 인도네시아 만델링과 로부스타의 풍미가 복합적으로 펼쳐집니다.  4kg단위로 주문이 가능 합니다.,블렌드,미디엄다크,,,5,1,4,3,1,"후일라,  빅토리카,  수마트라",커피,"경기도 성남시 중원구 사기막골로 124, 비즈센터 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,4kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,루비아 커피 010-2942-3069
33,3180,디카프 슬럽,47,천연사탕수수공법을 이용해 카페인을 제거한 E.A. 카우카 디카프 고소하고 깔끔한 맛,디카페인,미디엄,,,3,3,4,1,0,후일라,디카페인 커피,광주 동구 준법로 14 1층 슬러핀커피로스터스,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,슬러핀 커피 010-2031-5959
34,4772,코스타리카 핀카 마초 워시드,101,"잘 익은 사과의 상큼함과 복숭아나 살구의 향이 은은하게 퍼지고, 설탕을 입힌 바닐라의 풍미가 입안을 채웁니다.",싱글오리진,미디엄,,,3,3,4,1,1,타라수,커피,"경기도 파주시 탄현면 소리개길 164-17, 3동",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,폰트커피 010-9483-1853
35,4313,세븐레이크,20,세븐레이크는 밀크 초콜릿의 단맛에 고소함이 더해져 좋은 밸런스가 특징인 블렌드입니다.  샘플 주문 시 아메리카노 캔 같이 보내드립니다.,블렌드,미디엄,,,3,3,4,3,1,"콜롬비아, 에티오피아, 과테말라",커피,경기 안산시 단원구 산단로 296 522호,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,랑케커피 01089630224
36,235,딥 밸런스,15,"누구나 좋아하는 다크한 향미의 올 라운더 커피이며, 쌉쌀하면서도 묵직한 단맛이 균형있게 퍼지는 느낌의 커피입니다.",블렌드,미디엄,유기농,['초콜릿'],4,1,3,4,1,"브라질, 과테말라",커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,1kg,서늘한 곳에 보관,"커피원두(브라질산 80%, 과테말라산 20%)",코케 고객센터 070-4647-1868
37,3151,길들인다,62,"볶은 견과류의 폭발하는 고소함과 묵직한 바디감, 초콜렛의 쌉싸름한 달콤함이 길게 지속됩니다",블렌드,미디엄다크,공정무역,,4,1,3,1,1,"브라질, 브라질",커피,"오이르 경기도 부천시 양지로92번길9-3,106호",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,오이르로스터스
38,4604,인도네시아 만델링 G1,78,"인도네시아 만델링은 ""다크"" 로스팅으로 브라운슈가 / 카라멜 / 다크초콜렛 / 너트 등의 맛 구현하였습니다. 만델링은 다크초콜렛 커피맛으로 브루잉(핸드드립)에도 잘 어울립니다.",싱글오리진,다크,공정무역,,4,3,3,4,1,아체 & 남 수마르타,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,조바티커피 070-4203-6900
39,197,Seasonal Blend,100,FELT가 제안하는 계절감입니다. 잘 익은 과일의 맛과 향에 카라멜 같은 단맛이 조화를 이룹니다. 실크 같은 감촉으로 입안에 닿는 에스프레소 블렌드입니다.,블렌드,라이트미디엄,직접무역,"['과일', ' 카라멜', ' 핵과류', ' 실키']",3,4,4,1,1,"콜롬비아, 과테말라, 에티오피아",볶은커피,"(주)펠트, 경기도 고양시 덕양구 덕은동 74-1 1층",제조일로 부터 1년,후면별도표시,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868
40,4056,휴식 블랜드,7,가벼운 핵과류 산미와 초콜릿의 단맛의 여운이 긴 커피입니다. 추출 시간과 비율을 조절하여 초콜릿의 여운을 길게 가져가실 수도 있고 핵과의 산미를 밝게 살리실 수 있습니다.,블렌드,미디엄다크,,,4,2,4,3,1,"콜롬비아, 과테말라, 에티오피아",커피,성덕정길 130,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,글루 01023160961
41,4599,디카페인 콜롬비아,78,"콜롬비아 디카페인의 경우 미디움다크 로스팅으로 애플,감귤,레몬,허브,카라멜 등의 맛을 구현하였습니다. 디카페인은 쓰다는 편견을 없애고, 커피 본연의 고소함에 충실한 원두입니다.",디카페인,미디엄다크,공정무역,,3,2,3,2,0,안티오키아 칼다스,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,조바티커피 070-4203-6900
42,224,에티오피아 구지 우라가,69,"에티오피아 구지 우라가는 구지존의 우라가 지역의 커피로 내츄럴 가공되었습니다. 청포도와 감귤과 같은 산미가 매력적이며, 실키한 느낌의 바디감, 그리고 입안 가득 이어지는 아로마가 특징인 커피입니다.",싱글오리진,미디엄,직접무역,"['청포도', ' 실키한 바디', ' 굿밸런스', ' 레몬주스', ' 감귤']",2,3,2,1,1,구지우라가,커피,"웨이브온커피, 부산광역시 기장군 장안읍 해맞이로 286",제조일로부터 1년,별도 표시,200g / 1kg,밀봉 후 직사광선을 피하여 실온 보관,커피원두100%,코케 고객센터 070-4647-1868
43,82,과테말라 웨웨테낭고 SHB 디카페인,49,군고구마의 달콤함을 닮은 깨끗한 맛의 디카페인 커피입니다,디카페인,미디엄다크,,"['아몬드', ' 밀크초콜릿', ' 군밤']",3,2,4,1,0,웨웨테낭고,커피,"싸인포스트커피, 서울시 동작구 솔밭로 97-6",제조일로부터 6개월,제조일 별도 표기,200g / 1kg,해당없음,볶은 커피 100%,코케 고객센터 070-4647-1868
44,3152,고독,62,진하게 볶은 견과류의 스모키한 고소함과 목 넘김 후 카라멜 같은 단맛을 느낄 수 있습니다.,블렌드,미디엄다크,공정무역,,5,1,4,3,1,"엘살바도르,  코스트리카, 브라질, 인도",커피,"오이르 경기도 부천시 양지로92번길9-3, 106호",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,오이르로스터스
45,3067,브레가 블렌딩,70,"진한 커피를 만들기 위해 블렌딩한 원두입니다. 다크초콜릿의 단 맛, 탄 맛 없는 스모키함이 매력적인 원두로 묵직하고 다크초콜릿류 맛의 블렌딩을 원하시는 분들께 추천드립니다. (사용량에 따라 가격은 상이하니 연락 주시기 바랍니다.)",블렌드,미디엄다크,,,4,2,4,2,1,"과테말라, 콜롬비아, 브라질, 인도",커피,서울 서대문구 연희로 46-1,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,웨이즈커피 010-6434-8150
46,4674,오렌지 슈가 블렌드,10,"오렌지 슈가 블렌드는 단맛과 함께 과일의 향미가 표현되도록 만들어진 미디엄 로스트 블렌드입니다. 오렌지, 살구, 베리류의 생생한 과일 풍미가 맛있을 뿐만 아니라 코코넛 설탕과 같은 단맛이 오래 지속됩니다. 시트러스의 향미가 돋보이며 아메리카노 등의 블랙 커피와 잘 어울립니다.",블렌드,미디엄,,,3,4,4,2,1,"브라질, 에티오피아, 에티오피아",커피,"인천시 부평구 부평대로 337, 1031호",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,놈코어 커피 01049722312
47,137,디카페인 올 데이 블렌드,15,"남녀노소 누구나 좋아할 수 밖에 없는, 가을의 향기가 느껴지는 고소하고 마일드한 국민커피입니다.",디카페인,다크,,['시나몬'],5,2,3,4,0,"과테말라, 브라질, 에티오피아",커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 보관,"커피원두(브라질산 60%, 과테말라산 30%, 에티오피아산 10%)",코케 고객센터 070-4647-1868
48,1084,에티오피아 G2 시다모 SW 디카프,16,다크초콜릿 같은 달콤쌉싸름한 맛에 오렌지과 산미가 은은하게 개성을 더합니다.,디카페인,미디엄,,"['오렌지', ' 다크 초콜릿']",2,3,3,2,0,시다모,커피 원두,"파주시 꽃아마길41, 디카프워크룸",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),200g / 500g,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868
